Ref,Qty,Value,Manufacturer,MPN,Package,Rail/Function,Status,Notes
U4b,1,16-bit register (ch R) stand-in,,,SOIC-20W 7.5x12.8mm (stand-in),+3V3_REF element reference,PLACEHOLDER,"Second half of the channel R stand-in pair. See U4a. In the netlist the Cp clock inputs of all four packages are unconnected, so no flip-flop is clocked."
U7,1,output op amp,,,SOIC-8 3.9x4.9mm (stand-in),+5V_A / -5V_A,PLACEHOLDER,"Never chosen. The netlist carries an OPA1612AxD stand-in with only V+ and V- wired; both inputs and the outputs are open. Differential to single-ended, which the differential element drive gives for free, then a fixed-gain line buffer. power.md estimates four amplifier channels at 3.6 mA each. 0008, open-items.md, netlist/README.md."
RN1-RN4,4,1k thin film,,,R_Array_Concave_4x0402 (stand-in),Element summing resistors into SUM_P/SUM_N,PLACEHOLDER,"Value never chosen; 1k is a placeholder and it is load-bearing, because it sets both the element reference rail current (14 x 3.3 V / R, so 46.2 mA at 1k) and the differential swing into the I/V stage (+/-23.1 mA at 1k). See power.md. Thin film is specified and must not be substituted to thick film: rotation makes 1 percent tolerance adequate but does not fix voltage coefficient within one resistor. Arrays are preferred over discretes so elements share a die. The stock Device:R_Network08 symbol is a BUSSED network (one common pin plus eight) on a 4-resistor footprint; the design needs 28 isolated elements, and as wired it shorts each package's elements together and merges SUM_P with SUM_N. 0008, 0012, model/README.md."
C1-C2,2,1nF C0G,,,0603 (1608 metric),Summing node shunt at SUM_P and SUM_N,MISSING,"Never chosen. First reconstruction filter pole for one part, before anything active sees the stepped waveform. Value and package fixed by the netlist; the filter topology and corner frequency are open, so the value is provisional. C0G is the right dielectric for a signal-path capacitor. open-items.md."
C3-C10,8,100nF,,,0402 (1005 metric),+3V3_REF register decoupling,MISSING,"Never chosen. Two per register package. This is where the element switching current actually comes from: a regulator loop is orders of magnitude too slow to hold the rail at the modulator rate. 800 nF total holds a 23.1 mA redistribution step to 29 uV over 1 ns of reclock skew (power.md), so loop inductance from the package pin to the capacitor is the binding term, not capacitance. Value and package fixed; dielectric and manufacturer open."
R1,1,10k,,,0402 (1005 metric),ID1 pull-down to GND,MISSING,"Never chosen. With ID0 tied high this straps 0b01, line output only. Note that ID0 has no resistor: it is tied directly to the 3.3 V element reference rail, which puts 3.3 V on a 2.5 V header pin. interface.md."
J1,1,Mezzanine 2x40,,,PinHeader 2x40 P1.27mm vertical,Mezzanine from the main board,MISSING,"Never chosen. Must mate with the main board J2 and carries 32 element lines each beside a ground, MCLK back, two oscillator enables, MUTE_N, two ID straps, and 10 spare pins carrying 5x +5V (71, 73, 75, 77, 79) and 5x GND. It carries no 2.5 V and no 3.3 V. Pin assignment waits on layout. interface.md."
,1,Charge pump,,,,Generates the raw +/-7 V for the op amp rails,MISSING,"Never chosen and absent from the netlist. A 5 V input cannot produce +5 V with headroom, so the pump has to make both polarities and the regulators drop to the final rails. Run it hot and post-regulate. power.md assumes +/-7 V at 85 percent efficiency, costing 51 mA from +5V for the whole stage. 0009, open-items.md."
,1,Positive rail post-regulator,,,,+5V_A op amp positive rail,MISSING,"Never chosen and absent from the netlist. +5V_A has exactly one node in lyrebird-dac.net, the op amp V+ pin, and no source. LT3094 at U8 covers the negative rail only. 0009."
,1,2.5 V regulator,,,,+2V5 for translator VCC(A),MISSING,"Never chosen and absent from the netlist. +2V5 has exactly one node, U2 VCCA, and no source. The header carries no 2.5 V (interface.md) and 0012 forbids strapping the translator A side to 3.3 V, so this rail has to be generated on the module or the interface has to gain a pin. Its own draw is under 1 mA, so this is a missing rail rather than an expensive one. See power.md."
,1,Analog output connector,,,,LINE_OUT,MISSING,"Never chosen. LINE_OUT exists as a net name in output_module.py but is attached to nothing, so the module has no output. A headphone jack with a switch contact would be needed only for a headphone or combined variant, which this one is not. 0007."
